Blue Light (Forward),Blue Light (Reverse),Radio Waves (Forward),Radio Waves (Reverse),Red Light (Forward),Red Light (Reverse),White Light (Forward),White Light (Reverse)
163.45326,87.70934,582.7367,409.90314,227.15163,9.514149,114.29054,207.07167
133.13959,23.212559,458.18478,445.54813,282.6637,12.736971,280.47095,304.12982
140.55533,18.464611,517.86487,342.7689,345.29486,10.841312,207.801,526.83453
62.223305,42.46479,562.31744,45.629784,214.8494,49.16769,260.0893,478.27933
82.980995,40.75544,483.22885,52.1268,139.95128,22.413628,355.7457,166.29692
146.21667,13.369147,449.3588,23.567606,131.54819,24.085281,293.87015,41.251034
83.77991,3.6778462,470.1067,68.69217,41.942543,11.951672,194.10158,65.08207
82.401474,49.679165,399.61478,281.48093,15.405654,43.135204,122.569115,87.64443
245.1792,69.46078,566.29877,256.32657,155.5503,18.896526,69.14605,17.635168
54.900692,17.356697,398.4321,167.29724,242.75597,19.113531,127.580605,17.590044
75.32239,93.7015,427.62582,314.546,114.38635,3.131069,150.46207,25.357382
159.89777,144.18442,424.44016,339.39676,117.16179,1.3238783,95.025894,19.459503
123.97988,74.40554,532.6747,130.14192,201.88695,7.3391976,134.16599,29.057018
29.740683,41.171986,514.52277,10.456839,100.65273,49.664406,220.896,7.207438
72.20655,25.180882,327.84854,259.09427,78.75471,7.310371,226.12354,44.155212
89.40429,146.45766,59.54229,25.157055,136.40503,16.370592,254.99593,3.2159255
37.743248,312.68997,81.27756,245.873,74.95145,17.95416,321.07794,34.40923
25.228537,360.95377,126.320305,70.35202,61.46022,46.245716,335.10114,47.439022
27.098967,342.95343,235.92508,58.45215,62.015358,75.153984,388.21887,18.11612
38.128437,257.46698,392.9049,38.340298,60.831966,79.9598,395.72534,11.05824
76.85074,256.05963,469.58957,63.865593,42.062717,291.3147,535.98505,52.996166
65.93771,224.09027,485.38867,18.066624,30.995087,246.09216,519.3406,11.916371
78.36997,297.4104,462.92093,37.6578,45.680626,249.8197,289.63733,48.753662
249.38448,224.02545,425.7212,31.131874,146.27869,336.6755,150.70288,321.14737
257.4371,54.73176,476.7565,36.61624,223.74667,366.2877,156.8111,304.72708
83.99439,65.5443,464.88605,61.77459,101.64606,267.09113,57.36916,221.6618
93.23025,18.773514,428.2203,44.98126,61.49301,156.73007,37.66993,226.21915
211.26717,105.16051,352.45053,5.6835485,35.07207,191.25926,65.76921,109.93408
466.54926,59.792473,523.299,62.15786,10.45922,220.35896,30.764048,95.49325
432.83508,55.57019,557.7319,95.002174,27.46668,218.28844,210.26323,22.98545
79.2157,26.753206,339.8663,195.3886,93.28535,164.84375,266.9862,16.565996
65.871086,96.46331,263.9302,307.80646,219.81601,117.92208,196.528,9.673123
92.04277,49.112347,456.6409,230.57576,168.20393,249.02689,155.6618,40.13334
52.542774,15.724314,558.4759,166.91463,8.545541,325.33038,247.44066,16.151215
3.6827145,41.459965,508.52066,135.61842,64.53669,246.55293,215.14905,4.046828
2.1101625,124.74053,569.4711,56.44586,17.109203,207.00093,24.792818,15.290819
26.701218,66.183556,569.54706,20.791222,15.964626,352.20435,34.186676,10.553059
